Indicador,Formación bruta de capital fijo,Talento,Población,PEA,Superficie,PIB corriente,PIB constante,Unidades económicas totales,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Número de notarios,Homicidios,Superficie anual reforestada,Fuentes de energía no contaminantes,Extensión arbolada ,Emergencias industriales,Biodiversidad (especies de fauna y flora),Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Valor de la producción agrícola,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Generación de residuos sólidos,Disposición en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Más de 1 y hasta 2 S.M.,Más de 5 S.M.,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Población ocupada femenil,Ingreso promedio de la mujer,Número de diputadas en la cámara de diputados federal,Número total de diputados en la cámara de diputados federal,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Saldos totales de las obligaciones financieras de las entidades federativas,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,ïndice Molinar,Elasticidad Salario-PIB,Salarios promedio,Población ocupada en el sector primario,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Inversión ejercida en adquisición de vivienda,Activos fijos netos,Superficie agrícola (media móvil de 4 años),Hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Hogares con acceso a internet,Total de hogares,Número de computadoras,Captación de la banca comercial,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Operaciones atendidas en los aeropuertos,Destinos aéreos ,Unidades de transporte público,Número de créditos ejercidos,Módulos de la banca múltiple,Oficinas de banca comercial,Monto de las primas pagadas en seguro directo,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Personas en el mercado informal,Flujo de extranjeros,Ingresos directos por turismo( Servicios de alojamiento temporal y de preparación de alimentos y bebidas) ,Exportaciones (estimado),Importaciones (estimado),Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Patentes solicitadas por entidad de residencia del inventor,Empresas con ISO 9000,Investigadores,PIB en dólares
Aguascalientes,1422.40872,0.32052,969919.00000,366409.00000,5625.00000,65359575.54445,72760517.89833,31434.15442,11658.00000,37.00000,4.05000,3.42000,3.54000,2.70000,0.19300,15.00000,23.00000,2445.00000,0.20438,65447.00000,5.00000,379.00000,0.00000,4.00000,3760.85328,1.51224,2219.00000,285.31000,243.00000,66.11660,99.10000,74.38050,0.19714,96139.00000,41262.00000,1.86407,93.00000,146854.00000,1.01760,3.00000,6.00000,4.50000,75.50000,56.50000,0.12782,504.73000,28121.50000,2.19618,207300.00000,0.02793,9.18075,5.88598,0.00000,66.60000,1.82572,1.40656,24.08000,32631.00000,12.06142,8.10000,,791421.10000,32142923.98451,102084.75000,33365.00000,29.40000,14401.00000,222015.00000,13.87564,8037.11755,8.57401,8.84576,0.97330,11130.00000,11.00000,4431.00000,18928.00000,47.59083,67.00000,224399.00000,1.77778,80.17218,0.12050,0.13767,38.67000,69.05000,0.93176,0.00000,2.67956,22.19850,4.50000,82334.00000,0.00114,1719343.56467,4560761.98211,3837362.02563,103.70000,450.00000,25886960.40092,39333038.12366,2.00000,15.00000,35.00000,7005425.24914
Baja California,3386.37301,0.31264,2700834.00000,1135599.00000,71546.00000,190608318.96725,215982901.92232,59793.65871,22948.00000,54.00000,3.71000,2.67000,2.34000,3.44000,0.47267,14.00000,404.00000,271.00000,0.11041,204977.00000,12.00000,1028.00000,38560.83000,4.00000,4677.62396,0.62893,3893.00000,985.15000,813.00000,56.02515,94.70000,75.00420,0.17309,129989.00000,235657.00000,1.12188,97.00000,397292.00000,0.95730,2.00000,9.00000,3.20000,70.30000,52.00000,0.12295,495.94000,101421.00000,4.47427,1703500.00000,0.00249,31.67184,10.20614,0.00000,61.30000,1.98221,1.79124,32.06000,56348.00000,20.66876,8.30000,,4085127.70000,78156360.99825,239022.41750,135586.00000,48.90000,72032.00000,653649.00000,15.09464,24785.76414,12.10951,5.86485,18639.40095,53624.00000,40.00000,14497.00000,17304.00000,11.18559,239.00000,843808.00000,0.69885,56.05446,0.48250,0.52800,36.44000,59.52000,0.86694,0.00000,0.04849,0.00000,5.70000,212689.00000,0.05097,8548223.80395,20556396.41975,18346092.26143,876.27836,1106.00000,61280447.56999,127973916.27803,4.00000,49.00000,264.00000,20429849.88286
Baja California Sur,654.05909,0.33457,439878.00000,192916.00000,73943.00000,31630250.24478,35890474.21811,15508.27078,11322.00000,18.00000,2.88000,2.72000,2.03000,2.81000,0.67667,1.00000,23.00000,235.00000,0.11041,505611.00000,4.00000,765.00000,28835.59000,2.00000,3475.50737,0.67948,759.00000,140.43000,39.00000,53.21056,96.30000,74.52540,0.19568,41620.00000,43263.00000,2.46205,32.00000,73929.00000,0.95240,2.00000,6.00000,3.90000,78.00000,50.80000,0.11230,509.25000,13871.00000,12.58017,700100.00000,0.03344,54.76147,8.54458,0.00000,66.90000,1.72821,-0.59987,32.45000,34695.00000,27.15513,8.50000,,499135.00000,16069852.84287,37198.30000,22928.00000,43.50000,16411.00000,125747.00000,12.90941,3908.89648,2.92537,6.86063,12780.77883,48993.00000,38.00000,6080.00000,4885.00000,62.74626,49.00000,165435.00000,0.67620,51.39420,0.33600,0.65467,21.59000,0.00000,0.91334,0.00000,0.43493,0.00000,3.90000,39423.00000,0.09699,3229665.47983,175038.84241,64581.83078,155.09787,434.00000,5717515.12555,26522640.55385,0.00000,0.00000,119.00000,3390130.83284
Campeche,1286.17843,0.25970,706044.00000,298327.00000,57727.00000,370031443.11755,322043429.20067,20418.22571,9327.00000,34.00000,3.66000,3.02000,3.95000,1.74000,0.31133,14.00000,53.00000,12644.00000,0.32795,3286346.00000,42.00000,670.00000,17121.91000,13.00000,2308.58296,0.00024,41.00000,191.81000,58.00000,62.30133,85.60000,73.38700,0.27754,84875.00000,39985.00000,1.96730,43.00000,113640.00000,0.97310,2.00000,7.00000,10.70000,67.70000,55.40000,0.07157,496.65000,22946.00000,1.31144,82200.00000,0.04426,3.62580,5.46822,0.00000,66.90000,2.06467,0.39599,20.96000,80333.00000,3.74317,7.40000,,366831.30000,70122651.74378,195173.62250,34212.00000,11.30000,8607.00000,172673.00000,6.36918,3435.25706,1.69903,8.71557,48069.70247,36064.00000,11.00000,1839.00000,17268.00000,47.37944,47.00000,116435.00000,0.34646,71.66890,0.18925,0.11467,31.94000,57.14000,0.84659,0.00000,0.25098,0.00000,7.30000,65033.00000,0.00161,2340501.11428,139005.21160,91619.30108,-20.88908,285.00000,220076553.31357,33946309.78946,0.00000,1.00000,14.00000,6024077.48753
Chiapas,2074.34123,0.19291,4041993.00000,1703866.00000,73681.00000,232331168.41574,135341223.27609,65133.20378,1899.00000,40.00000,3.36000,2.37000,2.70000,2.64000,0.37567,34.00000,173.00000,6467.00000,0.32795,3293196.00000,21.00000,3110.00000,9843.21000,9.00000,25590.46032,0.02626,111.00000,909.41000,112.00000,69.90559,77.60000,72.08890,0.28030,321768.00000,78195.00000,1.03612,346.00000,470305.00000,1.28640,3.00000,19.00000,21.60000,76.50000,57.10000,0.04646,484.92000,14821.00000,6.43927,946800.00000,0.02363,12.50417,13.06988,0.00000,47.69000,1.92899,0.89053,27.76000,636183.00000,5.29597,5.70000,,566790.80000,59388590.85484,1448056.80250,50202.00000,5.30000,25691.00000,944646.00000,2.91035,15435.93623,1.55642,4.63540,1.21745,29836.00000,27.00000,15608.00000,9507.00000,6.20861,155.00000,271418.00000,0.81432,83.20238,0.30150,0.25233,45.02000,54.76000,0.96052,0.00000,2.34160,7.81415,6.80000,512667.00000,0.00240,3158875.57874,57024.86987,136553.65059,-0.45780,994.00000,35410311.49995,79561107.45698,1.00000,0.00000,66.00000,11802849.67879
Chihuahua,4426.87081,0.33546,3169248.00000,1238598.00000,247487.00000,12373513.40800,228220647.65103,18997.48497,10550.00000,57.00000,2.89000,2.69000,1.63000,1.54000,0.17167,14.00000,623.00000,2512.00000,0.11041,7591842.00000,8.00000,1585.00000,10044.97000,5.00000,2858.65942,0.45623,3761.00000,1029.30000,784.00000,58.10956,96.50000,74.47870,0.16834,281546.00000,184303.00000,1.46123,188.00000,437655.00000,0.79930,5.00000,13.00000,4.60000,69.60000,53.40000,0.09351,501.73000,227432.00000,3.42976,2696300.00000,0.02114,23.33232,11.43140,0.00000,56.90000,2.00033,1.16819,26.89000,152691.00000,8.76327,7.90000,,3632210.30000,80807375.37590,827384.88500,108749.00000,36.60000,81665.00000,834782.00000,11.27564,4139.14402,14.30202,3.33423,9.78001,53023.00000,30.00000,8727.00000,20281.00000,95.51009,274.00000,728612.00000,0.08081,75.41679,0.38750,0.45933,10.79000,64.29000,0.81779,0.00000,0.08651,0.00000,5.50000,231531.00000,0.00997,5867815.77381,22476656.28320,19963214.19744,765.64167,878.00000,75884874.45937,130171426.94197,11.00000,90.00000,52.00000,22387975.82545
Coahuila,4470.51673,0.38247,2341352.00000,906489.00000,151445.00000,102271319.51078,213701987.97952,89090.88647,13081.00000,40.00000,3.38000,2.74000,3.90000,2.58000,0.20400,19.00000,155.00000,3392.00000,0.00477,444121.00000,19.00000,1228.00000,2927.70000,7.00000,3056.71124,0.83701,1022.00000,700.60000,452.00000,56.79770,99.00000,74.10670,0.17488,226632.00000,138192.00000,1.82715,178.00000,336640.00000,0.93550,4.00000,11.00000,3.70000,82.50000,58.80000,0.07153,514.12000,116146.00000,4.21260,712800.00000,0.04727,14.38092,10.70284,0.30000,49.30000,1.47806,0.25939,13.56000,55655.00000,8.00252,8.60000,,2167068.80000,113632441.42643,258990.81500,76085.00000,31.60000,50257.00000,591538.00000,11.38795,9307.30175,14.90796,8.75921,0.79725,25745.00000,26.00000,10717.00000,15769.00000,113.29099,218.00000,578156.00000,0.39618,76.47307,0.34450,0.33267,2.22000,50.00000,0.91012,0.00000,0.62000,24.80934,5.00000,192729.00000,0.02863,4256810.22638,7297780.03562,5422865.59793,189.17470,738.00000,93130692.48965,108601287.42480,10.00000,48.00000,103.00000,21666521.60502
Colima,648.36237,0.29716,573178.00000,266653.00000,5627.00000,265969319.82251,39398087.29180,78128.49428,7266.00000,17.00000,3.51000,2.61000,3.05000,3.34000,0.19333,7.00000,59.00000,1535.00000,0.20438,242663.00000,0.00000,664.00000,6420.31000,3.00000,8771.98878,0.54005,437.00000,158.35000,80.00000,56.57543,98.30000,74.14470,0.27176,61901.00000,33282.00000,1.87725,58.00000,98660.00000,0.93330,2.00000,6.00000,6.70000,71.60000,61.50000,0.14727,497.02000,7509.00000,4.36453,223400.00000,0.01157,15.25263,6.22047,0.00000,66.21000,2.37916,0.54904,27.66000,39303.00000,12.04714,7.80000,,646088.90000,22023675.52294,158438.19000,25296.00000,32.30000,9603.00000,140865.00000,10.13124,21569.89342,10.65934,86.09060,11968.18604,11526.00000,8.00000,2481.00000,5657.00000,64.07572,53.00000,129043.00000,3.55429,57.69911,0.40475,0.28700,26.67000,54.76000,0.94749,390107.00000,2.19500,0.00000,3.00000,62733.00000,0.00808,2003049.36948,50344.84013,33296.45011,2.89684,329.00000,10422849.34494,23658873.11860,8.00000,4.00000,46.00000,3666549.20504
Distrito Federal,31489.54682,0.48271,8675887.00000,3817556.00000,6611.00000,1153088543.59051,1334830235.19422,343243.84116,20411.00000,80.00000,3.01000,2.54000,2.63000,2.66000,0.60167,31.00000,985.00000,6902.00000,0.15674,52719.00000,3.00000,808.00000,64.32000,23.00000,1571187.06998,1.81851,3208.00000,4350.69000,4351.00000,46.67019,97.40000,74.88890,0.25156,853521.00000,553126.00000,3.42927,556.00000,1599000.00000,1.00130,17.00000,60.00000,2.80000,74.10000,43.90000,0.05061,520.88000,284310.00000,11.63795,32788500.00000,-0.00352,127.60000,10.30000,0.00000,69.00000,2.72394,0.04084,31.31000,11917.00000,41.64602,9.70000,,7328086.20000,546384605.95890,26347.72500,505907.00000,40.40000,383253.00000,2182785.00000,23.42869,507494.14056,47.33333,1.20464,409.20515,293813.00000,111.00000,101974.00000,56371.00000,174.99499,1370.00000,22984326.00000,1.51263,91.81874,0.18075,0.66633,33.52000,61.90000,0.51098,0.00000,0.74172,44.72698,22.60000,936998.00000,0.09723,32668879.61545,39121690.11464,36691315.76026,22043.06243,14658.00000,169578273.36406,1100876597.48058,215.00000,184.00000,3895.00000,123595644.98792
Durango,1673.49265,0.29692,1456379.00000,559705.00000,123367.00000,81770365.70198,87800578.93033,36774.72075,10093.00000,34.00000,3.00000,2.66000,3.01000,2.10000,0.22533,11.00000,168.00000,5633.00000,0.00477,5484421.00000,10.00000,1455.00000,3517.13000,6.00000,3963.49425,0.75734,1918.00000,406.72000,266.00000,64.58802,92.80000,73.60010,0.20233,150985.00000,44195.00000,1.87108,69.00000,180316.00000,1.05220,3.00000,10.00000,5.10000,69.70000,49.30000,0.09050,500.50000,34604.00000,8.59520,1345900.00000,0.03831,47.03310,13.36557,0.00000,55.30000,2.63902,0.36744,20.67000,129253.00000,4.50660,7.50000,,682148.00000,27695012.33813,579101.55250,47210.00000,12.00000,24361.00000,336231.00000,7.78896,6162.24124,10.49285,5.01228,0.24186,16914.00000,12.00000,10341.00000,13410.00000,223.46901,83.00000,345808.00000,0.08106,69.07723,0.43075,0.75833,2.22000,76.19000,0.92117,0.00000,0.18096,0.00000,8.90000,125468.00000,0.00025,1206449.90985,570041.24743,780422.61566,39.83483,576.00000,29634862.60822,42949980.98467,3.00000,4.00000,24.00000,8764349.67328
