Indicador,Formación bruta de capital fijo,Talento,Incidencia delictiva,Percepción sobre inseguridad,Imparcialidad de los jueces,Calidad institucional de la justicia,Duración procedimientos mercantiles,Indice de eficiencia en la ejecución de sentencias,Ejecución de contratos,Notarías,Tasa de homicidios,Tasa de reforestación anual,Fuentes de energía no contaminantes,Emergencias ambientales,Areas naturales protegidas,Empresas certificadas por su responsabilidad ambiental (en cada diez mil unidades económicas),Relación de la producción agrícola y consumo de agua en la agricultura,"Sobre_
explotación de acuíferos",Volumen tratado de aguas residuales (Caudal tratado),Porcentaje de disposición de residuos sólidos en rellenos sanitarios,Tasa de dependencia económica,Población con acceso a agua potable,Esperanza de vida,Población sin acceso a instituciones de salud,Coeficiente de desigualdad en los ingresos,Número de médicos por cada mil habitantes,Muertes provocadas por desnutrición,Tasa neta participación laboral mujer,Ingreso promedio de la mujer,Presencia de la mujer en el congreso,Analfabetismo,Eficiencia terminal en secundaria,Eficiencia terminal en preparatoria,Atracción de talento,Calidad educativa,Población económicamente activa que ha recibido capacitación,Deuda directa,Pasivos promedio del gobierno,Crecimiento promedio del PIB,Deuda como porcentaje de ingresos garantizables,Plazo promedio de vencimiento de la deuda,Extensión de período gubernamental de presidentes municipales,Participación ciudadana en las elecciones,Índice Molinar,Elasticidad Salario-PIB,Salarios promedio,Productividad agrícola (por Ha. Cosechada),Grado promedio de escolaridad,Costo de inmuebles,Venta de inmuebles,Productividad neta de los activos,Disponibilidad de capital,Densidad de las tierras agrícolas por trabajador,Porcentaje de hogares con televisión de paga y telefonía fija,Penetración de la telefonía movil,Porcentaje de hogares que cuentan con internet,Penetración informática,Cobertura de la banca,Red carretera avanzada,Accidentes por malas condiciones del camino,Carga portuaria (aérea y marítima),Número de vuelos (operaciones / 1000 PEA),Destinos aéreos ,Densidad de transporte público,Tamaño del mercado hipotecario,Penetración del sistema financiero privado,"Presencia de la banca comercial (oficinas /100,000 hbt)",Penetración del seguro en la economía,Disponibilidad de aeropuertos,Índice de calidad de la transparencia,Facilidad para abrir una empresa,Agilidad del registro público,Índice de calidad de calidad de gobierno electrónico,Índice de información presupuestal,Autonomía fiscal,Inversión en bienes informáticos,Eficiencia en recaudación,Recaudación de tenencia,Índice de corrupción y buen gobierno,Mercado informal,Flujo de extranjeros,Ingresos por turismo,Intercambio comercial con el exterior,Inversión extranjera directa (neta),Correspondencia internacional enviada y recibida,"PIB sector industrial (incluye construccion, manufactura, mineria, electricidad, agua y gas)","PIB servicios (incluye comercio, restaurantes, hoteles, transporte, almacenaje, telecomunicaciones, servicios financieros, seguros, actividades inmobiliarias y de alquiler, servicios comunales, sociales y personales)",Coeficiente de invención,Empresas con ISO 9000,Número de investgadores
Aguascalientes,2.6,44.0,53.6,59.7,100.0,100.0,83.5,51.4,8.2,76.3,99.0,28.5,61.8,94.8,0.0,17.0,0.1,68.87,25.83,85.16,31.02,100.00,78.61,78.50,67.85,38.45,60.92,49.85,44.82,100.00,90.96,56.79,41.45,26.58,81.40,18.48,87.44,98.54,63.16,93.13,71.12,0.00,88.26,27.91,36.64,54.54,24.88,60.00,#DIV/0!,3.80,6.34,27.27,14.27,57.70,23.26,26.48,53.44,26.39,16.09,99.72,0.00,10.81,9.91,6.84,88.63,31.88,28.81,5.32,50.02,71.19,96.61,99.97,54.21,90.63,87.08,0.00,178.21,49.63,568.10,99.92,0.26,4.27,62.87,10.05,14.24,5.86,4.92,8.32,10.07,8.51
Baja California,8.9,41.3,0.0,36.1,81.4,51.9,35.1,80.4,61.3,20.5,30.1,0.9,32.7,87.6,73.1,7.2,0.2,54.52,45.69,82.52,66.82,84.72,100.00,96.46,100.00,9.26,100.00,29.50,32.44,54.55,97.87,24.69,26.64,25.26,71.29,21.89,74.41,95.90,36.10,75.44,49.93,0.00,65.22,40.47,24.49,95.90,46.74,65.00,#DIV/0!,6.99,5.08,17.94,22.00,87.36,42.08,56.59,59.38,28.03,23.74,28.25,0.00,16.81,36.04,9.62,22.08,2.57,44.37,7.02,19.66,11.53,86.42,99.55,50.89,78.12,73.66,0.00,100.00,0.00,942.58,100.00,11.68,8.23,100.00,25.50,12.30,4.63,5.58,5.98,17.30,22.06
Baja California Sur,0.1,48.9,55.2,86.1,36.1,55.1,22.6,55.7,100.0,4.7,83.4,0.2,32.7,95.9,39.4,17.3,0.1,58.91,8.52,27.77,76.80,90.28,83.58,79.60,92.58,61.96,76.00,42.83,31.43,75.00,94.15,72.22,22.70,22.37,86.61,17.16,28.05,89.84,69.02,57.28,58.08,0.00,89.57,20.08,100.00,97.93,63.21,70.00,#DIV/0!,5.06,6.60,25.09,0.00,74.34,36.87,70.07,48.73,26.53,3.86,99.65,28.99,90.40,34.23,39.05,40.50,92.95,62.72,8.39,19.02,0.00,90.55,99.41,28.81,0.00,83.27,0.00,59.14,0.00,380.86,99.96,22.22,20.47,3.49,27.07,32.93,2.32,7.19,0.00,0.00,60.09
Campeche,2.1,23.0,64.7,63.9,78.7,74.4,100.0,13.7,30.6,100.0,70.9,2.8,100.0,56.7,26.2,100.0,0.0,0.00,0.00,30.24,44.55,53.13,44.53,18.49,71.60,42.50,83.72,41.91,35.68,66.67,57.98,8.64,37.83,11.31,72.11,18.52,92.50,99.90,80.53,97.50,73.17,0.00,89.57,47.08,68.55,38.36,3.76,42.50,#DIV/0!,0.00,1.65,100.00,9.42,82.54,5.79,16.51,16.86,0.00,1.20,99.13,19.88,43.03,9.91,0.00,100.00,43.66,26.80,0.00,9.75,50.15,94.68,100.00,44.20,75.00,69.45,8.71,78.59,0.00,"1,441.89",99.93,0.37,0.00,1.79,0.00,12.09,9.12,0.03,0.00,1.03,3.70
Chiapas,4.7,0.0,100.0,55.6,62.3,32.7,49.6,49.0,42.8,38.1,88.5,1.4,100.0,78.4,54.8,18.8,1.5,2.26,0.83,12.31,17.58,25.35,0.00,16.44,35.58,5.88,67.62,0.00,100.00,40.91,0.00,62.96,43.42,4.50,58.61,0.00,63.17,98.13,58.58,90.51,35.88,0.00,6.04,36.19,52.94,73.61,7.71,0.00,#DIV/0!,0.50,2.68,1.17,8.36,7.27,0.00,1.47,0.00,13.27,0.90,99.54,74.76,6.23,24.32,4.38,4.43,0.86,4.18,1.46,22.91,78.69,91.52,99.85,63.65,71.87,93.03,8.71,142.48,17.47,"1,285.85",99.74,0.55,1.55,0.64,1.89,6.45,1.86,2.43,1.00,0.00,2.89
Chihuahua,12.3,49.2,58.9,31.9,36.6,53.2,6.5,5.9,4.1,16.4,4.3,0.1,32.7,91.8,8.5,39.1,0.0,39.55,44.12,76.16,59.42,90.97,81.97,100.00,82.35,22.60,84.75,30.90,0.00,83.33,90.43,20.37,31.25,17.27,77.95,47.50,80.38,0.00,55.93,82.00,43.92,0.00,46.09,41.92,44.17,69.10,16.51,55.00,#DIV/0!,100.00,100.00,16.17,30.17,47.31,30.21,48.37,40.77,75.49,28.49,90.60,0.00,15.24,27.03,0.52,24.15,19.53,42.73,100.00,2.27,59.43,89.10,99.62,12.75,84.38,63.49,8.71,95.98,0.00,880.17,100.00,2.28,100.00,99.55,20.72,7.56,100.00,100.00,14.01,100.00,3.21
Coahuila,12.5,65.4,46.9,55.6,63.4,56.4,98.0,46.7,10.3,36.4,75.7,5.7,0.0,80.4,3.1,9.1,0.0,72.57,11.64,64.51,64.07,99.65,69.21,95.12,80.32,36.99,73.86,38.10,27.96,80.00,95.21,100.00,49.01,11.30,92.21,32.43,75.91,96.80,83.73,89.04,47.49,100.00,13.04,0.00,72.87,0.00,14.58,72.50,#DIV/0!,6.90,15.95,45.85,24.86,46.45,25.39,39.83,41.32,18.97,29.80,97.04,0.02,10.11,23.42,6.87,26.02,31.44,48.07,9.11,11.15,62.04,90.31,99.76,0.00,65.63,82.60,0.00,39.57,55.47,724.13,99.94,6.56,7.54,30.68,6.71,8.92,14.30,9.33,17.23,11.37,10.30
Colima,0.1,36.0,74.5,87.5,70.5,48.1,63.7,76.5,8.2,58.7,55.6,4.7,61.8,100.0,100.0,2.5,0.4,46.82,4.70,50.52,64.86,97.22,70.52,22.81,76.35,38.96,57.46,37.55,27.51,75.00,79.26,32.72,57.89,31.86,72.53,5.28,75.04,99.61,45.75,88.35,69.48,0.00,86.57,72.33,63.72,73.09,24.85,52.50,#DIV/0!,0.49,0.00,24.74,20.54,72.90,26.06,28.68,35.19,16.67,20.60,95.59,0.00,15.39,7.21,6.00,33.00,72.82,47.55,0.29,100.00,15.60,88.61,99.81,36.36,71.87,90.33,0.53,126.97,0.00,100.00,99.89,1.85,0.26,0.98,2.34,18.18,0.00,0.00,56.32,1.08,16.12
Distrito Federal,100.0,100.0,12.1,0.0,43.2,43.6,46.8,49.8,85.8,11.8,49.8,100.0,47.0,96.9,1.0,7.2,100.0,42.31,37.56,100.00,100.00,94.10,96.05,37.89,82.08,100.00,81.64,57.07,41.47,66.23,100.00,48.15,0.00,5.63,99.99,17.39,33.44,86.95,29.71,0.00,49.47,0.00,98.70,100.00,79.77,92.02,100.00,100.00,#DIV/0!,1.83,6.06,54.62,7.90,100.00,33.88,100.00,100.00,100.00,100.00,97.85,18.61,27.40,100.00,31.85,21.22,13.03,100.00,33.50,42.56,100.00,94.91,99.40,46.55,81.24,0.00,8.71,26.70,100.00,"6,216.51",99.87,22.27,4.70,32.06,100.00,58.07,1.77,8.30,100.00,11.32,100.00
Durango,3.4,35.9,61.1,63.9,42.6,51.3,62.1,27.8,14.3,33.4,48.8,0.7,0.0,89.7,5.5,22.8,0.1,65.66,22.26,65.40,36.44,78.13,51.84,74.63,48.21,38.72,92.53,18.44,51.92,69.23,87.77,20.99,17.76,16.45,76.54,14.43,50.84,92.45,74.20,63.36,34.43,0.00,39.13,93.18,69.45,36.86,5.70,45.00,#DIV/0!,2.51,3.97,8.39,23.66,52.57,6.47,31.52,23.78,15.34,20.24,99.83,0.64,10.76,10.81,15.65,38.01,100.00,19.12,6.68,2.28,43.74,87.88,99.30,0.00,100.00,84.89,0.00,85.99,0.00,"1,941.19",99.92,0.06,1.80,7.88,4.41,11.79,5.30,4.18,8.31,2.30,3.30
Guanajuato,15.2,1.8,73.9,63.9,42.6,61.5,74.6,37.6,47.0,40.4,86.1,3.7,61.8,61.9,0.0,0.8,0.2,70.01,19.27,51.76,27.99,83.68,60.24,50.72,58.45,5.81,43.35,44.45,26.26,64.29,54.79,38.27,34.54,4.54,85.04,100.00,90.19,98.90,74.60,94.02,49.51,0.00,76.52,14.35,57.25,44.01,20.60,22.50,#DIV/0!,2.57,3.97,8.21,8.85,45.71,14.96,10.62,39.06,25.06,15.79,97.85,0.00,5.36,25.23,2.70,12.29,28.04,25.63,5.15,9.19,69.93,99.28,99.90,46.65,53.13,72.67,8.71,95.07,0.00,"1,036.20",99.80,1.14,3.84,8.79,7.57,15.42,5.83,5.21,19.56,2.79,12.87
Guerrero,4.5,16.7,72.2,33.3,1.1,14.7,26.2,22.0,49.0,20.1,0.0,1.6,100.0,96.9,0.2,1.9,7.9,22.75,18.93,36.26,0.00,0.00,0.56,18.34,41.88,11.03,67.91,40.29,18.81,70.59,6.91,11.73,45.07,3.11,38.83,2.44,40.88,92.87,33.30,71.14,35.18,0.00,58.20,45.26,26.09,38.62,12.70,17.50,#DIV/0!,1.02,9.24,16.43,7.06,11.68,7.92,5.47,23.11,21.03,12.39,98.61,0.00,16.31,33.33,32.99,0.00,61.48,4.38,4.25,8.84,37.35,86.66,99.47,0.00,93.75,91.36,0.00,91.83,24.92,"3,345.50",99.77,0.00,15.14,0.00,2.88,14.67,1.93,6.91,1.29,1.69,0.00
Hidalgo,3.6,16.7,86.2,73.6,8.2,39.7,39.9,33.7,24.6,66.4,81.6,5.6,47.0,79.4,9.6,10.3,1.3,45.61,0.20,16.42,34.76,52.78,37.57,19.16,50.87,18.33,55.49,48.87,6.92,30.00,40.43,91.98,30.92,9.74,59.24,4.42,89.54,97.51,32.89,90.47,84.71,0.00,100.00,20.88,36.84,39.35,10.93,27.50,#DIV/0!,5.18,11.23,23.66,6.79,40.02,10.14,13.84,2.18,27.55,9.26,100.00,0.77,0.00,0.90,6.97,17.58,40.69,4.46,4.42,13.49,35.74,87.88,99.77,61.76,65.63,90.07,0.00,85.04,0.00,"1,254.65",99.72,8.76,3.47,6.06,6.63,9.67,5.56,4.87,3.55,2.91,4.21
Jalisco,25.6,31.9,41.1,27.8,48.6,45.5,24.6,78.4,26.6,0.0,69.9,2.5,61.8,91.8,7.4,1.8,1.3,32.62,26.32,78.47,49.41,79.17,70.30,43.49,80.31,20.57,62.56,38.99,13.71,61.54,82.45,20.37,54.93,12.78,100.00,11.00,64.11,94.50,33.87,67.52,36.17,0.00,85.65,58.12,15.90,69.16,23.70,50.00,#DIV/0!,2.54,4.77,11.83,22.85,87.61,26.64,36.98,13.14,34.89,18.46,93.62,0.00,18.92,81.08,4.36,4.40,7.03,56.24,8.84,7.16,64.84,92.49,99.32,58.45,90.63,80.33,0.00,87.03,0.00,"2,783.78",99.76,24.37,7.90,23.19,7.94,15.33,4.44,5.84,25.70,4.07,10.12
